Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Type","Protocol","Number of Drivers/Receivers","Duplex","Receiver Hysteresis","Data Rate","Voltage - Supply","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package"
http://www.exar.com/Common/Content/Document.ashx?id=639,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-SOIC.jpg,1016-1144-5-ND,SP3485CN-L,Exar Corporation,IC TXRX RS485 HALF DUPLEX 8SOIC,1287,0,"2.24000","0","1","Tube","-","Transceiver","RS422, RS485","1/1","Half","20mV","10Mbps","3 V ~ 3.6 V","0°C ~ 70°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
http://www.exar.com/Common/Content/Document.ashx?id=639,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-SOIC.jpg,1016-1816-2-ND,SP3485CN-L/TR,Exar Corporation,IC TXRX RS485 HALF DUPLEX 8SOIC,0,0,"0.93700","0","2500","Tape & Reel (TR)","-","Transceiver","RS422, RS485","1/1","Half","20mV","10Mbps","3 V ~ 3.6 V","0°C ~ 70°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
http://www.exar.com/Common/Content/Document.ashx?id=639,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-SOIC.jpg,1016-1816-1-ND,SP3485CN-L/TR,Exar Corporation,IC TXRX RS485 HALF DUPLEX 8SOIC,0,0,"Call","0","1","Cut Tape (CT)","-","Transceiver","RS422, RS485","1/1","Half","20mV","10Mbps","3 V ~ 3.6 V","0°C ~ 70°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
http://www.exar.com/Common/Content/Document.ashx?id=639,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-SOIC.jpg,1016-1816-6-ND,SP3485CN-L/TR,Exar Corporation,IC TXRX RS485 HALF DUPLEX 8SOIC,0,0,"Calculate","0","1","Digi-Reel®","-","Transceiver","RS422, RS485","1/1","Half","20mV","10Mbps","3 V ~ 3.6 V","0°C ~ 70°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
